iter	RMSE
0	79320.79327
1	77783.44803
2	76266.82022
3	74785.92054
4	73349.22361
5	71974.6755
6	70551.05613
7	69135.67672
8	67919.92555
9	66635.21544
10	65426.54488
11	64251.72216
12	63010.75977
13	61952.67473
14	60850.94876
15	59756.98561
16	58762.93924
17	57813.58459
18	56917.85079
19	56022.0992
20	55142.76597
21	54239.7526
22	53335.77725
23	52429.81239
24	51573.21402
25	50798.73749
26	49974.71462
27	49268.408
28	48599.27651
29	47950.0642
30	47367.97227
31	46771.20581
32	46171.82704
33	45541.66597
34	45010.48042
35	44359.16688
36	43820.36942
37	43336.5997
38	42785.949
39	42240.03083
40	41744.3193
41	41239.36784
42	40752.62024
43	40267.38614
44	39782.66974
45	39343.34652
46	38891.87717
47	38473.04472
48	38108.75241
49	37683.95537
50	37329.77529
51	36944.5258
52	36563.82367
53	36211.88104
54	35790.39789
55	35442.51729
56	35129.36787
57	34803.12779
58	34482.11869
59	34225.59389
60	33956.17394
61	33661.79971
62	33379.79441
63	33144.01904
64	32916.37905
65	32704.99584
66	32464.64871
67	32199.00239
68	31939.84443
69	31717.8297
70	31515.31154
71	31342.42934
72	31148.14545
73	30955.16319
74	30774.59345
75	30585.87538
76	30457.25348
77	30225.84025
78	30048.43348
79	29846.9042
80	29688.94947
81	29512.24658
82	29363.93784
83	29117.34279
84	28982.95301
85	28824.442
86	28632.93965
87	28547.6686
88	28366.32965
89	28206.92567
90	28042.90373
91	27887.24151
92	27756.96188
93	27621.63589
94	27484.70417
95	27421.26021
96	27276.11323
97	27176.47949
98	27034.93514
99	26931.94943
100	26769.65877
101	26653.18855
102	26553.05046
103	26439.81006
104	26343.90629
105	26237.14357
106	26114.54478
107	25999.67546
108	25891.85975
109	25774.90263
110	25663.07155
111	25575.94813
112	25495.30778
113	25386.15794
114	25288.34097
115	25222.38214
116	25087.35884
117	24985.67587
118	24914.95342
119	24857.97233
120	24785.36808
121	24711.02788
122	24662.1175
123	24594.53802
124	24482.74711
125	24382.75718
126	24289.25374
127	24223.33402
128	24116.63394
129	24064.11901
130	23988.79507
131	23891.64436
132	23841.66497
133	23743.68414
134	23695.25322
135	23655.39375
136	23572.51208
137	23500.10308
138	23464.25413
139	23384.64439
140	23287.78016
141	23240.91732
142	23197.33527
143	23135.06
144	23054.69775
145	22998.20592
146	22909.52994
147	22865.61938
148	22816.23275
149	22771.70522
150	22685.86174
151	22611.68537
152	22571.36611
153	22493.99092
154	22427.25345
155	22375.10692
156	22334.36741
157	22257.77177
158	22206.33564
159	22160.08443
160	22110.95214
161	22065.32188
162	22025.27985
163	21965.01826
164	21912.81022
165	21887.01177
166	21836.02855
167	21788.75351
168	21739.75812
169	21693.82665
170	21627.52615
171	21605.27627
172	21562.2853
173	21499.64752
174	21468.17138
175	21413.07737
176	21356.19734
177	21290.75835
178	21236.60974
179	21183.34556
180	21146.22839
181	21103.11486
182	21046.67268
183	20998.35059
184	20947.88295
185	20890.146
186	20857.66714
187	20810.28807
188	20756.22058
189	20723.37509
190	20704.23722
191	20690.23219
192	20649.56295
193	20621.92948
194	20568.08484
195	20533.57836
196	20505.99896
197	20478.62644
198	20440.06726
199	20384.74305
200	20335.32992
201	20308.63079
202	20273.30782
203	20233.78278
204	20179.48229
205	20156.7786
206	20124.78142
207	20104.04302
208	20076.858
209	20031.94245
210	20014.69618
211	19986.18098
212	19946.3658
213	19904.68055
214	19893.06027
215	19850.98544
216	19833.44733
217	19797.00924
218	19773.30105
219	19760.63366
220	19711.76332
221	19670.99184
222	19629.47238
223	19594.29031
224	19561.8188
225	19530.82948
226	19506.45688
227	19471.97792
228	19444.91591
229	19401.16646
230	19366.49867
231	19323.59376
232	19312.43517
233	19290.69955
234	19256.16954
235	19221.7751
236	19192.20152
237	19175.3713
238	19160.46027
239	19128.25158
240	19094.85658
241	19070.56941
242	19052.38296
243	19032.30824
244	18985.67278
245	18955.10987
246	18905.60826
247	18865.37562
248	18808.35986
249	18767.69671
250	18721.77672
251	18698.91658
252	18655.48522
253	18616.65915
254	18582.16968
255	18557.77532
256	18549.79491
257	18538.19277
258	18512.87764
259	18493.6818
260	18456.67518
261	18445.57408
262	18410.21201
263	18368.1189
264	18338.59941
265	18325.34491
266	18285.67974
267	18277.48475
268	18263.94466
269	18241.75936
270	18223.38122
