iter	Passed	Remaining
0	9	9040
1	17	8712
2	23	7974
3	33	8419
4	40	7993
5	50	8330
6	56	8022
7	65	8144
8	71	7925
9	82	8192
10	88	7959
11	98	8117
12	104	7911
13	113	8008
14	121	7973
15	129	7959
16	135	7807
17	141	7699
18	146	7585
19	153	7501
20	159	7412
21	164	7333
22	170	7263
23	177	7222
24	183	7160
25	189	7105
26	195	7048
27	201	6998
28	208	6974
29	214	6940
30	220	6890
31	226	6851
32	232	6806
33	238	6772
34	244	6730
35	250	6695
36	256	6676
37	262	6656
38	268	6623
39	274	6597
40	281	6581
41	287	6567
42	293	6541
43	300	6525
44	306	6505
45	312	6478
46	318	6453
47	324	6434
48	330	6411
49	337	6405
50	343	6396
51	349	6380
52	358	6413
53	365	6399
54	393	6760
55	406	6851
56	425	7032
57	431	7009
58	441	7047
59	448	7022
60	459	7068
61	464	7034
62	475	7070
63	481	7036
64	491	7075
65	497	7046
66	505	7040
67	513	7034
68	520	7026
69	527	7001
70	534	6989
71	539	6957
72	546	6938
73	552	6911
74	558	6883
75	563	6855
76	569	6828
77	576	6808
78	582	6789
79	588	6767
80	594	6746
81	601	6730
82	609	6736
83	616	6726
84	623	6707
85	629	6686
86	635	6667
87	641	6644
88	647	6626
89	653	6606
90	659	6589
91	665	6569
92	671	6546
93	677	6525
94	682	6504
95	688	6482
96	694	6468
97	701	6452
98	707	6434
99	713	6423
100	719	6403
101	725	6386
102	731	6371
103	737	6352
104	743	6335
105	749	6317
106	756	6317
107	765	6322
108	772	6311
109	780	6318
110	787	6308
111	794	6302
112	801	6290
113	808	6284
114	814	6267
115	820	6253
116	827	6246
117	834	6237
118	842	6234
119	848	6223
120	855	6217
121	862	6205
122	868	6190
123	875	6182
124	881	6172
125	888	6165
126	895	6155
127	901	6142
128	909	6138
129	915	6125
130	922	6117
131	928	6107
132	935	6095
133	942	6091
134	948	6078
135	955	6070
136	961	6059
137	968	6048
138	975	6039
139	980	6025
140	988	6019
141	993	6004
142	999	5991
143	1007	5987
144	1013	5973
145	1018	5959
146	1025	5949
147	1030	5934
148	1038	5931
149	1044	5916
150	1050	5906
151	1057	5899
152	1063	5884
153	1070	5881
154	1076	5869
155	1083	5863
156	1090	5857
157	1097	5850
158	1106	5850
159	1111	5836
160	1119	5832
161	1125	5819
162	1131	5809
163	1138	5806
164	1144	5792
165	1152	5789
166	1157	5775
167	1163	5763
168	1172	5763
169	1177	5751
170	1186	5751
171	1192	5739
172	1206	5765
173	1222	5805
174	1236	5830
175	1252	5864
176	1269	5905
177	1284	5932
178	1298	5957
179	1312	5978
180	1325	5997
181	1339	6018
182	1352	6038
183	1365	6055
184	1373	6051
185	1380	6043
186	1386	6029
187	1392	6016
188	1399	6004
189	1405	5989
190	1411	5976
191	1417	5963
192	1479	6187
193	1497	6223
194	1513	6246
195	1524	6254
196	1536	6264
197	1560	6320
198	1570	6323
199	1585	6343
200	1600	6360
201	1613	6376
202	1631	6404
203	1644	6415
204	1666	6463
205	1680	6478
206	1694	6493
207	1705	6493
208	1719	6506
209	1732	6519
210	1748	6536
211	1762	6552
212	1775	6559
213	1784	6554
214	1799	6571
215	1814	6584
216	1823	6581
217	1830	6565
218	1836	6547
219	1843	6534
220	1849	6517
221	1855	6501
222	1860	6484
223	1866	6466
224	1873	6454
225	1880	6440
226	1886	6425
227	1893	6411
228	1899	6395
229	1906	6383
230	1913	6369
231	1919	6355
232	1926	6342
233	1933	6328
234	1940	6317
235	1946	6300
236	1955	6296
237	1961	6279
238	1967	6265
239	1974	6254
240	1981	6240
241	1989	6230
242	1995	6215
243	2000	6199
244	2007	6187
245	2020	6191
246	2025	6176
247	2031	6159
248	2037	6146
249	2043	6131
250	2049	6116
251	2055	6101
252	2061	6086
253	2067	6073
254	2073	6057
255	2078	6041
256	2084	6026
257	2090	6012
258	2095	5996
259	2101	5981
260	2107	5965
261	2112	5950
262	2118	5935
263	2124	5921
264	2129	5906
265	2135	5891
266	2140	5877
267	2146	5862
268	2152	5849
269	2158	5836
270	2164	5822
271	2170	5808
272	2176	5794
273	2182	5781
274	2187	5767
275	2193	5753
276	2199	5740
277	2205	5727
278	2211	5714
279	2217	5701
280	2223	5688
281	2229	5676
282	2234	5662
283	2240	5648
284	2246	5636
285	2252	5624
286	2258	5610
287	2287	5655
288	2301	5662
289	2316	5672
290	2325	5667
291	2340	5674
292	2354	5681
293	2367	5686
294	2382	5693
295	2392	5690
296	2405	5694
297	2419	5699
298	2434	5708
299	2443	5702
300	2453	5698
301	2461	5689
302	2467	5675
303	2472	5661
304	2478	5648
305	2484	5634
306	2490	5622
307	2496	5608
308	2501	5594
309	2507	5580
310	2512	5567
311	2518	5553
312	2524	5541
313	2531	5529
314	2536	5516
315	2542	5503
316	2548	5490
317	2554	5478
318	2560	5467
319	2566	5454
320	2572	5441
321	2578	5429
322	2584	5416
323	2590	5405
324	2596	5392
325	2601	5379
326	2607	5367
327	2613	5355
328	2619	5342
329	2626	5332
330	2632	5321
331	2639	5311
332	2645	5299
333	2651	5286
334	2658	5277
335	2664	5265
336	2671	5255
337	2678	5246
338	2684	5235
339	2691	5224
340	2697	5212
341	2704	5202
342	2710	5192
343	2717	5181
344	2724	5172
345	2729	5160
346	2737	5151
347	2744	5141
348	2750	5130
349	2758	5122
350	2764	5111
351	2771	5101
352	2777	5090
353	2783	5078
354	2789	5068
355	2795	5056
356	2801	5045
357	2806	5033
358	2812	5021
359	2818	5010
360	2823	4998
361	2829	4986
362	2835	4975
363	2840	4963
364	2846	4952
365	2852	4940
366	2857	4929
367	2863	4917
368	2868	4905
369	2874	4894
370	2880	4882
371	2885	4871
372	2891	4860
373	2897	4849
374	2903	4838
375	2909	4828
376	2915	4818
377	2921	4807
378	2927	4796
379	2933	4785
380	2939	4776
381	2945	4765
382	2951	4754
383	2956	4743
384	2964	4734
385	2969	4723
386	2975	4712
387	2981	4702
388	2987	4691
389	2992	4680
390	2998	4670
391	3004	4659
392	3010	4649
393	3016	4639
394	3022	4628
395	3028	4618
396	3034	4608
397	3039	4597
398	3046	4588
399	3052	4579
400	3059	4569
401	3064	4559
402	3070	4549
403	3081	4545
404	3094	4545
405	3108	4548
406	3115	4538
407	3121	4529
408	3127	4519
409	3133	4509
410	3139	4498
411	3146	4490
412	3152	4480
413	3157	4469
414	3163	4459
415	3169	4448
416	3174	4438
417	3180	4428
418	3186	4418
419	3192	4408
420	3198	4398
421	3203	4387
422	3209	4377
423	3215	4368
424	3221	4358
425	3227	4348
426	3233	4338
427	3238	4328
428	3245	4319
429	3250	4309
430	3256	4299
431	3265	4293
432	3272	4284
433	3282	4281
434	3289	4272
435	3298	4267
436	3305	4258
437	3315	4254
438	3321	4244
439	3331	4240
440	3337	4230
441	3347	4225
442	3353	4216
443	3360	4208
444	3367	4199
445	3373	4190
446	3380	4182
447	3386	4173
448	3396	4167
449	3402	4158
450	3412	4154
451	3418	4144
452	3426	4136
453	3432	4128
454	3439	4119
455	3444	4109
456	3450	4100
457	3457	4091
458	3462	4081
459	3468	4071
460	3475	4063
461	3481	4054
462	3487	4044
463	3493	4035
464	3498	4025
465	3505	4016
466	3511	4007
467	3516	3997
468	3522	3987
469	3528	3978
470	3533	3968
471	3540	3960
472	3546	3951
473	3552	3942
474	3558	3932
475	3563	3923
476	3570	3914
477	3576	3905
478	3582	3896
479	3587	3886
480	3593	3877
481	3599	3868
482	3605	3859
483	3610	3849
484	3616	3840
485	3622	3831
486	3628	3822
487	3634	3812
488	3640	3803
489	3645	3794
490	3651	3785
491	3657	3776
492	3663	3767
493	3669	3758
494	3674	3748
495	3680	3739
496	3686	3731
497	3692	3722
498	3697	3712
499	3703	3703
500	3709	3694
501	3715	3685
502	3721	3676
503	3727	3668
504	3733	3659
505	3739	3651
506	3745	3641
507	3750	3632
508	3757	3625
509	3763	3616
510	3769	3607
511	3779	3602
512	3789	3597
513	3795	3588
514	3804	3583
515	3811	3574
516	3820	3569
517	3826	3561
518	3836	3555
519	3842	3546
520	3851	3541
521	3857	3532
522	3866	3526
523	3872	3517
524	3878	3508
525	3888	3504
526	3896	3497
527	3904	3490
528	3913	3484
529	3922	3478
530	3928	3469
531	3933	3460
532	3939	3451
533	3945	3443
534	3951	3434
535	3957	3425
536	3963	3417
537	3969	3409
538	3976	3400
539	3982	3392
540	3988	3383
541	3994	3375
542	4001	3367
543	4007	3359
544	4013	3350
545	4019	3341
546	4026	3334
547	4033	3326
548	4039	3318
549	4044	3309
550	4050	3300
551	4056	3292
552	4062	3283
553	4068	3275
554	4074	3266
555	4080	3258
556	4088	3251
557	4095	3243
558	4101	3236
559	4109	3228
560	4115	3220
561	4121	3211
562	4128	3204
563	4134	3196
564	4143	3189
565	4149	3182
566	4156	3173
567	4163	3166
568	4168	3157
569	4175	3150
570	4181	3141
571	4188	3133
572	4195	3126
573	4201	3118
574	4207	3110
575	4213	3101
576	4220	3094
577	4228	3087
578	4235	3079
579	4242	3072
580	4248	3063
581	4254	3055
582	4261	3048
583	4267	3040
584	4274	3032
585	4280	3024
586	4286	3015
587	4293	3008
588	4300	3000
589	4307	2993
590	4313	2985
591	4319	2976
592	4326	2969
593	4332	2961
594	4339	2954
595	4346	2946
596	4353	2938
597	4361	2931
598	4367	2923
599	4375	2916
600	4380	2908
601	4388	2901
602	4395	2893
603	4401	2886
604	4410	2879
605	4417	2872
606	4426	2865
607	4432	2857
608	4440	2851
609	4446	2843
610	4455	2836
611	4462	2829
612	4471	2822
613	4477	2814
614	4483	2806
615	4492	2800
616	4497	2792
617	4506	2785
618	4512	2777
619	4523	2772
620	4531	2765
621	4540	2759
622	4545	2750
623	4554	2744
624	4560	2736
625	4568	2729
626	4573	2720
627	4579	2712
628	4587	2705
629	4593	2697
630	4599	2689
631	4606	2682
632	4611	2673
633	4619	2666
634	4624	2658
635	4630	2650
636	4636	2642
637	4642	2633
638	4647	2625
639	4653	2617
640	4658	2609
641	4664	2601
642	4670	2592
643	4675	2584
644	4681	2576
645	4686	2568
646	4692	2560
647	4698	2552
648	4704	2544
649	4710	2536
650	4716	2528
651	4722	2520
652	4729	2513
653	4735	2505
654	4741	2497
655	4747	2489
656	4753	2481
657	4759	2473
658	4765	2465
659	4770	2457
660	4777	2450
661	4782	2442
662	4788	2433
663	4794	2426
664	4800	2418
665	4806	2410
666	4812	2402
667	4817	2394
668	4823	2386
669	4829	2378
670	4835	2371
671	4841	2363
672	4869	2365
673	4906	2373
674	4914	2366
675	4925	2360
676	4937	2355
677	4952	2352
678	4966	2347
679	4981	2344
680	4996	2340
681	5006	2334
682	5024	2331
683	5038	2327
684	5047	2321
685	5055	2314
686	5063	2306
687	5068	2298
688	5075	2290
689	5081	2282
690	5087	2275
691	5093	2267
692	5134	2274
693	5150	2271
694	5165	2267
695	5181	2263
696	5196	2258
697	5218	2257
698	5234	2253
699	5249	2249
700	5266	2246
701	5282	2242
702	5295	2237
703	5304	2230
704	5313	2223
705	5319	2215
706	5326	2207
707	5332	2199
708	5338	2190
709	5343	2182
710	5349	2174
711	5355	2166
712	5363	2158
713	5369	2150
714	5375	2142
715	5381	2134
716	5387	2126
717	5395	2118
718	5403	2111
719	5409	2103
720	5416	2096
721	5423	2088
722	5429	2080
723	5435	2072
724	5443	2064
725	5450	2057
726	5457	2049
727	5464	2041
728	5472	2034
729	5479	2026
730	5486	2018
731	5492	2010
732	5498	2002
733	5505	1995
734	5514	1988
735	5521	1980
736	5527	1972
737	5535	1965
738	5542	1957
739	5548	1949
740	5556	1942
741	5562	1933
742	5568	1926
743	5575	1918
744	5581	1910
745	5588	1902
746	5594	1894
747	5600	1886
748	5606	1878
749	5611	1870
750	5617	1862
751	5623	1854
752	5629	1846
753	5635	1838
754	5641	1830
755	5648	1823
756	5655	1815
757	5660	1807
758	5666	1799
759	5672	1791
760	5678	1783
761	5684	1775
762	5692	1768
763	5699	1760
764	5705	1752
765	5711	1744
766	5720	1737
767	5727	1730
768	5733	1722
769	5740	1714
770	5746	1706
771	5751	1698
772	5757	1690
773	5763	1682
774	5769	1675
775	5775	1667
776	5781	1659
777	5788	1651
778	5794	1643
779	5799	1635
780	5805	1627
781	5811	1620
782	5817	1612
783	5822	1604
784	5828	1596
785	5834	1588
786	5840	1580
787	5846	1572
